Direction,Distance(feet)
L,940
L,840
L,740
L,640
L,540
L,440
L,340
L,240
L,140
L,40
R,640
R,540
R,440
R,340
R,240
R,140
R,40
R,860
R,760
R,660
R,560
R,460
R,360
R,260
R,160
R,60
R,960
R,860
R,760
R,660
R,560
R,460
R,360
R,260
R,160
R,60
R,1000
R,900
R,800
R,700
R,600
R,500
R,400
R,300
R,200
R,100
R,680
R,580
R,480
R,380
R,280
R,180
R,80
R,1160
R,1060
R,960
R,860
R,760
R,660
R,560
R,460
R,360
R,260
R,160
R,60
L,640
L,540
L,440
L,340
L,240
L,140
L,40
L,640
L,540
L,440
L,340
L,240
L,140
L,40
L,1040
L,940
L,840
L,740
L,640
L,540
L,440
L,340
L,240
L,140
L,40
L,980
L,880
L,780
L,680
L,580
L,480
L,380
L,280
L,180
L,80
R,660
R,560
R,460
R,360
R,260
R,160
R,60
L,760
L,660
L,560
L,460
L,360
L,260
L,160
L,60
R,1160
R,1060
R,960
R,860
R,760
R,660
R,560
R,460
R,360
R,260
R,160
R,60
R,1120
R,1020
R,920
R,820
R,720
R,620
R,520
R,420
R,320
R,220
R,120
R,20
L,640
L,540
L,440
L,340
L,240
L,140
L,40
R,1040
R,940
R,840
R,740
R,640
R,540
R,440
R,340
R,240
R,140
R,40
L,980
L,880
L,780
L,680
L,580
L,480
L,380
L,280
L,180
L,80
L,900
L,800
L,700
L,600
L,500
L,400
L,300
L,200
L,100
L,1180
L,1080
L,980
L,880
L,780
L,680
L,580
L,480
L,380
L,280
L,180
L,80
